dc_date,year_month,dc_price,ptr,d_max_price,d_max_date,d_profit,d_roi,m_max_price,m_max_date,m_profit,m_roi
2024-02-04,2024-02,0.07823800295591354,91.31395817925099,0.08002699911594391,2024-02-05,0.001788996160030365,2.286607649019939,0.13440899550914764,2024-02-29,0.0561709925532341,71.79502342983625
2024-02-11,2024-02,0.0811930000782013,91.21111820586664,0.08279699832201004,2024-02-12,0.0016039982438087463,1.975537598393766,0.13440899550914764,2024-02-29,0.05321599543094635,65.54259034607811
2024-03-30,2024-03,0.19943399727344513,91.49926248507411,0.22393299639225006,2024-03-31,0.02449899911880493,12.28426419454162,0.22393299639225006,2024-03-31,0.02449899911880493,12.28426419454162
2024-04-02,2024-04,0.1823039948940277,92.68787569649805,0.18740299344062805,2024-04-03,0.005098998546600342,2.7969757599466543,0.20869000256061554,2024-04-08,0.02638600766658783,14.473631080836089
2024-04-28,2024-04,0.146698996424675,91.45749376319324,0.14794999361038208,2024-04-29,0.0012509971857070923,0.8527646515628601,0.14794999361038208,2024-04-29,0.0012509971857070923,0.8527646515628601
2024-05-07,2024-05,0.15018999576568604,95.5087772289542,0.15192100405693054,2024-05-08,0.0017310082912445068,1.1525456688507285,0.17454999685287476,2024-05-26,0.02436000108718872,16.21945653769987
2024-05-11,2024-05,0.1429239958524704,93.48374740459656,0.14438900351524353,2024-05-12,0.0014650076627731323,1.0250256816814363,0.17454999685287476,2024-05-26,0.03162600100040436,22.127845511015156
2024-05-16,2024-05,0.14963699877262115,94.3043308400779,0.15636399388313293,2024-05-17,0.00672699511051178,4.4955426570227415,0.17454999685287476,2024-05-26,0.0249129980802536,16.648955996577964
2024-05-26,2024-05,0.16621999442577362,94.20957369357708,0.17303599417209625,2024-05-27,0.006815999746322632,4.1005895649733946,0.17303599417209625,2024-05-27,0.006815999746322632,4.1005895649733946
2024-06-28,2024-06,0.12278900295495987,92.37745693195495,0.12412100285291672,2024-06-29,0.0013319998979568481,1.0847876160745746,0.1253329962491989,2024-06-30,0.002543993294239044,2.071841315603975
2024-07-01,2024-07,0.12344200164079666,95.13543910518085,0.1250939965248108,2024-07-02,0.0016519948840141296,1.338276163749566,0.1430869996547699,2024-07-21,0.019644998013973236,15.914354719504736
2024-07-04,2024-07,0.10488700121641159,96.85886848850207,0.10641799867153168,2024-07-05,0.0015309974551200867,1.4596636736340716,0.1430869996547699,2024-07-21,0.03819999843835831,36.42014548546477
2024-07-07,2024-07,0.10423199832439423,94.93097009700743,0.1110209971666336,2024-07-08,0.00678899884223938,6.513353817807883,0.1430869996547699,2024-07-21,0.03885500133037567,37.27742147804734
2024-07-11,2024-07,0.10666699707508087,93.9332647697406,0.10826600342988968,2024-07-12,0.0015990063548088074,1.4990638141648416,0.1430869996547699,2024-07-21,0.036420002579689026,34.14364665581959
2024-07-27,2024-07,0.1315920054912567,96.57371247254089,0.13179999589920044,2024-07-28,0.00020799040794372559,0.1580570241841515,0.1349489986896515,2024-07-29,0.0033569931983947754,2.551061658998595
2024-07-31,2024-07,0.12201400101184845,91.67545644287304,0.12293200194835663,2024-08-01,0.0009180009365081787,0.7523734398473124,0.12201400101184845,2024-07-31,0.0,0.0
2024-08-11,2024-08,0.10056599974632263,97.45594076450982,0.10853499919176102,2024-08-12,0.007968999445438385,7.9241487834259665,0.11523900181055069,2024-08-23,0.014673002064228058,14.590420322216904
2024-08-18,2024-08,0.1001719981431961,99.92760122321516,0.10180699825286865,2024-08-19,0.0016350001096725464,1.6321927684174873,0.11523900181055069,2024-08-23,0.015067003667354584,15.041133197539164
2024-09-03,2024-09,0.09671899676322937,99.55073277995021,0.09945599734783173,2024-09-04,0.002737000584602356,2.829847988707539,0.1319500058889389,2024-09-28,0.035231009125709534,36.4261523637967
2024-09-15,2024-09,0.10293299704790115,90.58708341623802,0.10313200205564499,2024-09-16,0.00019900500774383545,0.193334512208195,0.1319500058889389,2024-09-28,0.02901700884103775,28.190191360632706
2024-09-29,2024-09,0.1246739998459816,99.4346244168536,0.12466900050640106,2024-09-30,-4.999339580535889e-06,-0.004009929565676819,0.12466900050640106,2024-09-30,-4.999339580535889e-06,-0.004009929565676819
